,rang,movie_name,year,time,rating,votes,gross,director,stars
76,77,The Lives of Others,2006,137,8.4,"383,424",$11.29M,Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']"
77,78,Oldeuboi,2003,120,8.4,"562,309",$0.71M,Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']"
78,79,Memento,2000,113,8.4,"1,207,802",$25.54M,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']"
79,80,American Beauty,1999,122,8.4,"1,132,352",$130.10M,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']"
80,81,Mononoke-hime,1997,134,8.4,"382,382",$2.38M,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']"
81,82,Braveheart,1995,178,8.4,"1,017,403",$75.60M,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']"
82,83,Idi i smotri,1985,142,8.4,"75,064",#102,Elem Klimov,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius', 'Vladas Bagdonas']"
83,84,Aliens,1986,137,8.4,"699,971",$85.16M,James Cameron,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']"
84,85,Amadeus,1984,160,8.4,"393,703",$51.97M,Milos Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']"
85,86,Raiders of the Lost Ark,1981,115,8.4,"943,997",$248.16M,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
86,87,Das Boot,1981,149,8.4,"247,163",$11.49M,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']"
87,88,The Shining,1980,146,8.4,"985,892",$44.02M,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
88,89,Tengoku to jigoku,1963,143,8.4,"42,862",#92,Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']"
89,90,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,"480,573",$0.28M,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']"
90,91,Witness for the Prosecution,1957,116,8.4,"122,210",$8.18M,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']"
91,92,Paths of Glory,1957,88,8.4,"193,495",#61,Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']"
92,93,Sunset Blvd.,1950,110,8.4,"217,748",#60,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']"
93,94,The Great Dictator,1940,125,8.4,"220,241",$0.29M,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']"
94,95,Ratsasan,2018,170,8.3,"39,445",0,Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']"
95,96,Ayla: The Daughter of War,2017,125,8.3,"38,923",0,"Directors:Can Ulkay, Halenur Uzunoglu","['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']"
96,97,Dangal,2016,161,8.3,"183,002",$12.39M,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
97,98,Drishyam,2013,160,8.3,"40,386",0,Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']"
98,99,Jagten,2012,115,8.3,"319,859",$0.69M,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']"
99,100,Jodaeiye Nader az Simin,2011,123,8.3,"241,463",$7.10M,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']"
